Document Name,Document ID,Created Time,Modified Time,Content
Personal_Account_Info.txt,1KCMca0Lcdh-UxDOhNk7DGr0kp1PzyZes,2025-11-17T16:03:53.937Z,2025-11-17T16:03:25.000Z,Content omitted for privacy
Notes - Meeting with Jessica Sun,1rWyBR39THo3UlnsVzQYVoItRC_BSI-s9KNSfssDgLfc,2025-11-14T16:59:56.311Z,2025-11-14T16:59:56.723Z,Content omitted for privacy
info,10HKVMZxTdoOPj7RKth5dZL_LRU70iVsrkC8i5oJTSfU,2025-11-13T16:41:39.751Z,2025-11-14T16:21:46.577Z,Content omitted for privacy
Client Presentation - CozyThreads Branding,1QeSeGVfiL5NJTCNnHJsl6OTJxSZcndNAchKWLcoH9yw,2025-11-13T15:25:28.682Z,2025-11-14T16:19:03.984Z,Content omitted for privacy
[V4] TO DO: Complete Meeting Registration - Q3 Review,1gMvfD1VU7u0G7mGJ2UjNtpdwXa3QGFO5nSdZCHQ_uHg,2025-11-13T17:53:30.033Z,2025-11-14T14:38:22.010Z,Content omitted for privacy
Class Schedule - Fall 2025.docx,1_C73Ng87qRSumNFF5uaakyWnF5Duc7nx,2025-11-13T16:11:49.673Z,2025-11-13T21:10:24.000Z,Content omitted for privacy
Art Project Instructions.docx,18QjIgnBygTokkkDdVANUHODz_I3j-4Io,2025-11-13T16:11:49.720Z,2025-11-13T21:10:24.000Z,Content omitted for privacy
Music Worksheet - Rhythm Practice.docx,1ua--2IbDFDzdY3Q-bur2HUDeiXt9f7rO,2025-11-13T16:11:49.757Z,2025-11-13T21:10:24.000Z,Content omitted for privacy
StatementFeb2025,13zOZ2sa0BKNhZXuW2DYPKy3rj_o_dYzrwaBiolayQkA,2025-11-13T16:42:19.907Z,2025-11-13T21:10:00.948Z,Content omitted for privacy
Project_Proprietary_Algorithm_SPMHA,1LaHaSLPceeoVRbAUYgQC4Es5dstHJfnrkVcPF_DIX4w,2025-11-13T18:38:22.780Z,2025-11-13T21:01:16.795Z,Content omitted for privacy
Family Information Sheet,1OYZWqRzE17sMpqfUGrrIV0kH8FviI3hh-21a72TL0Vk,2025-11-13T15:28:59.251Z,2025-11-13T15:34:00.214Z,Content omitted for privacy
Preschool Snack Rotation - Fall 2025,1Rih6oTGxIBW79NrHUg34WIZYoIFhFn26seztXwQkL7Y,2025-11-13T15:21:29.751Z,2025-11-13T15:21:29.786Z,Content omitted for privacy
Creative Goals - 2025,1w6ESpap_HszdoTBz4bNDibt7Vg-NMkajKOCRFIhyouc,2025-11-13T15:20:22.975Z,2025-11-13T15:20:24.395Z,Content omitted for privacy
Client Brief - Maple & Pine Home Goods,1q_u3vHDapebWGdGsuPMGAJ4ozaDlb4o3B8yg_-G7TQg,2025-11-13T15:20:09.471Z,2025-11-13T15:20:11.166Z,Content omitted for privacy
Chores Chart - Kids,1OPwOnWS-RaN0V78QyxeGAu0-cHCXkKL9pmLLtlrfGzs,2025-11-13T15:19:43.025Z,2025-11-13T15:19:44.476Z,Content omitted for privacy
Branding Proposal - Luna Wellness,1J2rqmOtV72Ova4_QoJsUJaXKB3dSEBt9ySMlHyl0ZwU,2025-11-13T15:19:20.582Z,2025-11-13T15:19:22.582Z,Content omitted for privacy
Tax Summary.pdf,1-tjn_y38tslJR2jkfxYc-yqBksgkXich,2025-11-12T14:48:31.243Z,2025-11-12T14:48:12.000Z,Content omitted for privacy
Project_Proprietary_Algorithm_SPMHA,1tOGGU25wOcMIoKfUBkHwvMmBhgAPC1LB5y3MN6EDn1s,2025-06-27T14:06:43.895Z,2025-08-18T20:51:20.826Z,Content omitted for privacy
Credit Card Information,1zjV_ALV8PkAPWfr0PY3xWXii0vb426dVSrCwNwi7IJY,2025-07-16T13:24:58.649Z,2025-08-18T20:51:18.332Z,Content omitted for privacy
StatementFeb2025,1mGSUkLO5RwWY1Kj72cHW4szLp9UUzzvQRpJekcgcc7I,2025-07-25T17:03:45.642Z,2025-08-18T20:50:30.370Z,Content omitted for privacy
